,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
1045,36047109800,414.3408356,520.7668403,554.8422576,2239.479562,2504.649923,1072.234627,1151.650989,1435.73525,1841.519316,1931.525569,2167.462462,2299.890825
1046,36047110400,359.8706765,452.2147265,481.959392,1949.342488,2180.281273,930.6435566,999.6270245,1246.096159,1598.797086,1676.677021,1882.116205,1997.128592
1047,36047110600,82.69980554,103.9169734,110.7536164,448.0908696,501.1652222,213.853336,229.7112044,286.3531845,367.4027659,385.303769,432.5158967,458.9509162
1048,36047111000,59.57696768,74.86182255,79.78694246,322.8048129,361.0395943,154.060015,165.4840288,206.2889303,264.6770759,277.5729646,311.5845972,330.6283942
1049,36047111600,241.5897748,303.571188,323.5429767,1309.001532,1464.046889,624.7267326,671.0520999,836.519517,1073.288515,1125.582463,1263.502585,1340.726835
1050,36047111800,78.47204389,98.6045523,105.0916939,425.1836646,475.5447616,202.9207718,217.9679577,271.7142987,348.6204808,365.6063527,410.4049122,435.4885263
1051,36047112000,83.64604594,105.1064362,112.0211085,453.2045272,506.8849314,216.30121,232.3404197,289.6318814,371.6089957,389.714603,437.4670507,464.2043117
1052,36047112200,137.5072441,186.4043279,191.9876274,348.6870466,400.737306,385.0554723,408.3786598,543.9036249,683.8420888,707.1653722,789.3814519,826.6625826
1053,36047112400,85.99115494,108.0540312,115.1622155,465.886742,521.0699552,222.3672279,238.8559311,297.7561122,382.0318569,400.6446869,449.7361508,477.2226185
1054,36047112600,142.7770485,193.5483781,199.3455142,362.040695,416.0848636,399.8129706,424.02992,564.7496989,710.0512634,734.2682319,819.6352348,858.3449633
1055,36047112800,156.0747892,211.574843,217.9118757,395.7579613,454.8354356,437.0502536,463.522668,617.3487792,776.1832334,802.6556524,895.9734486,938.28843
1056,36047113000,164.3048422,222.7237685,229.3982441,416.8517519,479.0650065,460.079832,487.9499029,649.8640327,817.071125,844.9431281,943.179601,987.7296998
1057,36047113200,168.1623467,227.908837,234.6163151,427.1335709,490.4644068,471.5043115,500.0632535,665.6691221,836.3925329,865.4035077,965.1505841,1010.811679
1058,36047113400,130.0018837,176.2302458,181.5079972,329.6465204,378.8529992,364.042595,386.092859,514.2212613,646.5196956,668.5722804,746.2968698,781.5432858
1059,36047114201,216.1294452,241.5970303,248.9962008,385.599632,459.7346777,455.2678019,502.4795716,586.8039852,731.6924565,739.7917313,893.3370927,919.7971653
1060,36047114202,79.88431104,88.42366843,91.35046431,141.2437258,169.9607583,167.6881874,185.3522614,216.7894924,274.4645876,276.8748901,336.2027642,346.7392294
